ct;yr;acoustic;cpue
4.711;1970;;
9.189;1971;;
18.782;1972;;
42.781;1973;;
129.211;1974;;
37.899;1975;;
54.154;1976;;
504.992;1977;;
386.793;1978;;
333.809816;1979;;
414.2986668;1980;;
445.6382317;1981;;
143.7236791;1982;;
110.6900627;1983;;
200.673586;1984;;
114.6220523;1985;;
51.02862586;1986;17811.18789;
46.304;1987;22955.14954;
244.2289228;1988;9458.792837;
316.2467899;1989;15033.97684;
370.8232159;1990;14139.45145;
213.4469098;1991;16486.37206;
111.682;1992;6266.285975;
133.354;1993;19658.50176;
233.346;1994;10767.97642;
550.993;1995;6428.85496;
495.518;1996;7271.229389;
680.053;1997;2561.268924;
412.846;1998;189.5068385;
203.751;1999;342.4842905;
303.7;2000;2373.192088;
857.744;2001;2051.746016;
154.823;2002;248.0636287;214.415435
217.734;2003;1117.883755;244.8605034
187.369;2004;863.7439029;277.6053359
80.663;2005;1024.785446;194.7629604
277.568;2006;1678.284379;247.4908193
255.36;2007;522.1122523;231.5737621
169.537;2008;222.6086644;220.9557191
76.629;2009;849.3714312;184.0818239
22.172;2010;;
326.394;2011;677.6031773;267.9172913
168.883;2012;93.75415713;267.088545
52.477;2013;889.7572271;
